fold,month,actual_revenue,pred_raw,pred_calibrated,n_days,abs_err_raw,abs_err_calibrated,ape_raw,ape_calibrated,is_peak_month
fold1_2020H2-2021,2020-07-01,90701640.38,86719478.625,92622183.75574285,31,3982161.754999995,1920543.3757428527,0.043903966216228156,0.021174295941028414,0
fold1_2020H2-2021,2020-08-01,122065017.36,81977076.375,88949191.31192659,31,40087940.985,33115826.04807341,0.32841465845018253,0.2712966152325742,1
fold1_2020H2-2021,2020-09-01,78825813.7,73427793.9375,79330548.91754039,30,5398019.762500003,504735.21754038334,0.06848035572514494,0.00640317167497103,0
fold1_2020H2-2021,2020-10-01,68136462.93,64009575.125,69998471.21608624,31,4126887.805000007,1862008.2860862315,0.0605679782532851,0.027327633487508232,0
fold1_2020H2-2021,2020-11-01,45740881.45,43627123.9375,49362115.773903616,30,2113757.512500003,3621234.323903613,0.046211560544817676,0.07916844208308567,0
fold1_2020H2-2021,2020-12-01,43671563.77,43461079.125,49428292.85465293,31,210484.64500000328,5756729.084652923,0.004819718526878005,0.13181870736232906,0
fold1_2020H2-2021,2021-01-01,46473094.42,48437136.1875,54493332.283761434,31,1964041.7674999982,8020237.8637614325,0.04226191072516058,0.17257808983577969,0
fold1_2020H2-2021,2021-02-01,66077638.57,60077940.625,65979441.51112731,28,5999697.945,98197.05887269229,0.0907977051668419,0.0014860860799174333,0
fold1_2020H2-2021,2021-03-01,113274006.63,103092125.875,111296234.97788696,31,10181880.754999995,1977771.6521130353,0.08988717763165428,0.017460066178936,1
fold1_2020H2-2021,2021-04-01,134836887.53,126136469.625,134981405.46194297,30,8700417.905000001,144517.93194296956,0.06452550236347035,0.001071798189577875,1
fold1_2020H2-2021,2021-05-01,143070694.87,124889041.875,133355752.26664902,31,18181652.995000005,9714942.603350982,0.12708160124280246,0.0679030923291341,1
fold1_2020H2-2021,2021-06-01,128449576.26,118310408.75,126608999.07311806,30,10139167.510000005,1840577.1868819445,0.07893500161866555,0.014329180682981448,1
fold1_2020H2-2021,2021-07-01,101001502.3,70337488.75,75692738.24866945,31,30664013.549999997,25308764.05133055,0.30359957873616694,0.25057809512730933,0
fold1_2020H2-2021,2021-08-01,68280026.82000001,67245122.9375,73737684.92287102,31,1034903.8825000077,5457658.102871016,0.015156758582245789,0.07993052078404288,0
fold1_2020H2-2021,2021-09-01,74841850.26,62200432.4375,68272616.09377766,30,12641417.822500005,6569234.166222349,0.1689084085786738,0.08777487653499853,0
fold1_2020H2-2021,2021-10-01,65692136.16,59335242.1875,65717754.74176171,31,6356893.972499996,25618.581761710346,0.09676795951675439,0.0003899794291863738,0
fold1_2020H2-2021,2021-11-01,50638497.46,44853827.6875,51030535.69863679,30,5784669.772500001,392038.2386367917,0.1142346250907106,0.007741901089116393,0
fold1_2020H2-2021,2021-12-01,50403908.35,40497762.125,46300510.79511228,31,9906146.225000001,4103397.5548877195,0.19653527968927834,0.08141030505797511,0
fold2_2021H2-2022,2021-07-01,101001502.3,89112368.125,95277654.1731308,31,11889134.174999997,5723848.126869202,0.11771244886720855,0.05667092069450537,0
fold2_2021H2-2022,2021-08-01,68280026.82000001,83755434.0,89164866.5548035,31,15475407.179999992,20884839.734803498,0.22664617898871514,0.30587040907087176,0
